,datetime,mkt_value,margin,pnl,cash,net_asset,net_value
166,2007-08-29,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
167,2007-08-30,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
168,2007-08-31,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
169,2007-09-04,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
170,2007-09-05,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
171,2007-09-06,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
172,2007-09-07,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
173,2007-09-10,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
174,2007-09-11,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
175,2007-09-12,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
176,2007-09-13,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
177,2007-09-14,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
178,2007-09-17,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
179,2007-09-18,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
180,2007-09-19,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
181,2007-09-20,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
182,2007-09-21,1349281.7000000002,674640.8500000001,0.0,6071859.66,6746500.51,0.674650051
183,2007-09-24,1349285.34,674642.67,6342.4000000000815,6078200.24,6752842.91,0.675284291
184,2007-09-25,1350533.8199999998,675266.9099999999,-13150.439999999886,6064425.5600000005,6739692.470000001,0.673969247
185,2007-09-26,1347937.72,673968.86,40221.79999999993,6105945.41,6779914.2700000005,0.677991427
186,2007-09-27,1355967.53,677983.765,12793.390000000072,6114723.8950000005,6792707.66,0.679270766
187,2007-09-28,1358524.13,679262.065,-27262.799999999916,6086182.795,6765444.86,0.6765444860000001
188,2007-10-01,2706158.17,1353079.085,30891.149999999907,5443256.925,6796336.01,0.679633601
189,2007-10-02,4077789.55,2038894.775,-49726.27000000019,4707714.965,6746609.739999999,0.6746609739999999
190,2007-10-03,5397278.76,2698639.38,-59613.05999999982,3988357.3,6686996.68,0.668699668
191,2007-10-04,6686970.16,3343485.08,-40051.450000000186,3303460.1499999994,6646945.2299999995,0.664694523
192,2007-10-05,6646942.85,3323471.425,293869.7000000009,3617343.505000001,6940814.930000001,0.6940814930000001
193,2007-10-08,6940799.34,3470399.67,-78484.80000000144,3391930.459999999,6862330.129999999,0.686233013
194,2007-10-09,6862309.48,3431154.74,280715.1000000001,3711890.4899999984,7143045.229999999,0.7143045229999999
195,2007-10-10,7143026.16,3571513.08,2878.760000000242,3574410.9099999983,7145923.989999998,0.7145923989999998
196,2007-10-11,7145902.08,3572951.04,-437842.13999999966,3135130.8099999987,6708081.849999999,0.6708081849999998
197,2007-10-12,6708059.0600000005,3354029.5300000003,118030.06999999983,3472082.389999998,6826111.919999998,0.6826111919999998
198,2007-10-15,6826103.95,3413051.975,-317797.77,3095262.1749999984,6508314.1499999985,0.6508314149999999
199,2007-10-16,6508299.43,3254149.715,-277992.39999999944,2976172.034999999,6230321.749999999,0.6230321749999999
200,2007-10-17,6230307.91,3115153.955,49249.54999999935,3164417.344999999,6279571.299999999,0.6279571299999999
201,2007-10-18,6279552.03,3139776.015,2471.439999999944,3142266.724999998,6282042.739999998,0.6282042739999998
202,2007-10-19,6282028.44,3141014.22,-421083.5099999998,2719945.0099999984,5860959.229999999,0.5860959229999999
203,2007-10-22,5860945.01,2930472.505,129057.830000001,3059544.5549999997,5990017.06,0.5990017059999999
204,2007-10-23,5989993.24,2994996.62,152515.7999999998,3147536.2399999993,6142532.859999999,0.614253286
205,2007-10-24,6142522.74,3071261.37,-103519.6100000001,2967751.879999999,6039013.249999999,0.6039013249999999
206,2007-10-25,6038984.399999999,3019492.1999999997,-6314.450000000186,3013206.599999999,6032698.799999999,0.6032698799999999
207,2007-10-26,6032688.38,3016344.19,194677.6000000001,3211032.2099999986,6227376.3999999985,0.6227376399999999
208,2007-10-29,6227339.98,3113669.99,49873.05999999982,3163579.469999998,6277249.459999998,0.6277249459999998
209,2007-10-30,6277241.12,3138620.56,-216934.25999999966,2921694.6399999983,6060315.199999998,0.6060315199999998
210,2007-10-31,6060301.100000001,3030150.5500000003,396541.6599999998,3426706.309999998,6456856.8599999985,0.6456856859999999
211,2007-11-01,6456827.28,3228413.64,-644839.9199999999,2583603.2999999984,5812016.939999999,0.5812016939999999
212,2007-11-02,5811991.130000001,2905995.5650000004,-175629.63000000006,2730391.7449999982,5636387.309999999,0.5636387309999998
213,2007-11-05,5636374.74,2818187.37,-208710.95999999926,2609488.9799999995,5427676.35,0.5427676349999999
214,2007-11-06,5427671.160000001,2713835.5800000005,221323.49999999977,2935164.269999999,5648999.85,0.5648999849999999
215,2007-11-07,5648969.82,2824484.91,-530621.0699999997,2293893.87,5118378.78,0.511837878
216,2007-11-08,5118348.550000001,2559174.2750000004,34446.720000000205,2593651.2249999996,5152825.5,0.51528255
217,2007-11-09,5152791.81,2576395.905,-248869.94999999972,2327559.645000001,4903955.550000001,0.4903955550000001
218,2007-11-12,3923144.34,1961572.17,-47680.9300000004,2894702.45,4856274.62,0.485627462
219,2007-11-13,2913755.26,1456877.63,258117.54000000004,3657514.5300000003,5114392.16,0.511439216
220,2007-11-14,3068613.05,1534306.525,-41902.590000000084,3538183.0450000004,5072489.57,0.5072489570000001
221,2007-11-15,3043472.16,1521736.08,-177875.0499999998,3372878.4400000004,4894614.5200000005,0.4894614520000001
222,2007-11-16,2936734.8,1468367.4,25656.399999999907,3451903.52,4920270.92,0.492027092
223,2007-11-19,2952134.83,1476067.415,-56337.47999999998,3387866.0249999994,4863933.4399999995,0.48639334399999995
224,2007-11-20,2918339.06,1459169.53,50756.33000000031,3455520.2399999993,4914689.77,0.491468977
225,2007-11-21,3931707.5,1965853.75,-46973.70999999973,2901862.3099999996,4867716.06,0.48677160599999997
226,2007-11-23,3894126.54,1947063.27,119624.0,3040276.7899999996,4987340.06,0.49873400599999995
227,2007-11-26,3989833.6999999997,1994916.8499999999,-165405.36,2827017.8499999996,4821934.699999999,0.4821934699999999
228,2007-11-27,3857529.13,1928764.565,71330.90999999968,2964501.0449999995,4893265.609999999,0.48932656099999994
229,2007-11-28,3914564.08,1957282.04,276276.99000000017,3212260.5599999996,5169542.6,0.51695426
230,2007-11-29,4135593.76,2067796.88,-20352.340000000142,3081393.38,5149190.26,0.514919026
231,2007-11-30,4119334.21,2059667.105,68911.06999999951,3158434.224999999,5218101.329999999,0.5218101329999999
232,2007-12-03,5218083.249999999,2609041.6249999995,-32116.27000000002,2576943.434999999,5185985.059999999,0.5185985059999999
233,2007-12-04,5185964.24,2592982.12,-57684.89999999982,2535318.039999999,5128300.159999999,0.5128300159999999
234,2007-12-05,5128273.25,2564136.625,180859.30000000028,2745022.834999999,5309159.459999999,0.5309159459999999
235,2007-12-06,5309136.540000001,2654568.2700000005,216688.21000000008,2871279.3999999985,5525847.669999999,0.5525847669999999
236,2007-12-07,5525823.91,2762911.955,-75361.0299999991,2687574.6849999996,5450486.64,0.545048664
237,2007-12-10,5450461.050000001,2725230.5250000004,77690.76999999979,2802946.884999999,5528177.409999999,0.5528177409999999
238,2007-12-11,5528155.83,2764077.915,-225594.34999999963,2538505.1449999996,5302583.06,0.530258306
239,2007-12-12,5302548.26,2651274.13,35447.070000000065,2686756.0,5338030.13,0.533803013
240,2007-12-13,5338013.029999999,2669006.5149999997,-45912.94999999972,2623110.665,5292117.18,0.529211718
241,2007-12-14,5292084.18,2646042.09,-148934.91000000015,2497140.1799999997,5143182.27,0.514318227
242,2007-12-17,5143172.92,2571586.46,-166250.4299999997,2405345.38,4976931.84,0.497693184
243,2007-12-18,4976907.18,2488453.59,158974.22999999998,2647452.4800000004,5135906.07,0.513590607
244,2007-12-19,5135885.220000001,2567942.6100000003,54416.09999999986,2622379.5599999996,5190322.17,0.519032217
245,2007-12-20,5190299.34,2595149.67,56742.619999999646,2651915.119999999,5247064.789999999,0.5247064789999999
246,2007-12-21,5247044.609999999,2623522.3049999997,191043.90000000037,2814586.385,5438108.6899999995,0.543810869
247,2007-12-24,5438089.33,2719044.665,109692.58000000007,2828756.6049999995,5547801.27,0.5547801269999999
248,2007-12-26,5547773.46,2773886.73,38175.840000000084,2812090.3799999994,5585977.109999999,0.5585977109999999
249,2007-12-27,5585970.399999999,2792985.1999999997,-177502.3800000006,2615489.529999999,5408474.729999999,0.5408474729999999
250,2007-12-28,5408449.1899999995,2704224.5949999997,-44962.539999999804,2659287.594999999,5363512.189999999,0.5363512189999998
251,2007-12-31,5363503.5600000005,2681751.7800000003,-105482.69000000064,2576277.719999998,5258029.499999998,0.5258029499999998
252,2008-01-02,5258002.97,2629001.485,-66517.19999999925,2562510.814999999,5191512.299999999,0.5191512299999999
253,2008-01-03,5191492.5,2595746.25,-5825.730000000505,2589940.3199999984,5185686.569999998,0.5185686569999999
254,2008-01-04,5185652.0,2592826.0,-163654.1800000001,2429206.3899999987,5022032.389999999,0.5022032389999999
255,2008-01-07,5022010.2299999995,2511005.1149999998,100007.5399999998,2611034.814999999,5122039.929999999,0.5122039929999999
256,2008-01-08,5122006.74,2561003.37,-216811.0700000004,2344225.4899999984,4905228.8599999985,0.4905228859999998
257,2008-01-09,4905206.66,2452603.33,29549.87999999989,2482175.4099999983,4934778.739999998,0.4934778739999998
258,2008-01-10,4934747.27,2467373.635,155491.7300000002,2622896.834999999,5090270.469999999,0.5090270469999999
259,2008-01-11,5090237.1,2545118.55,-261580.8799999999,2283571.039999999,4828689.589999999,0.4828689589999999
